Date,Temperature,Humidity,Wind_Speed,PM25,PM10,NO2,SO2,AQI
2024-06-24,33.9,76.7,15.8,21.9,54.2,25.9,9.1,38
2024-06-25,32.3,69.8,14.1,10.0,31.6,14.2,7.0,15
2024-06-26,35.1,80.5,18.3,10.0,24.8,22.5,11.1,23
2024-06-27,31.6,80.2,23.2,10.0,20.0,25.9,8.4,15
2024-06-28,37.5,88.0,13.8,21.8,43.6,22.4,12.0,40
2024-06-29,33.2,75.8,17.1,10.0,20.0,19.0,6.8,24
2024-06-30,30.2,78.6,21.2,10.0,28.8,17.4,15.2,18
2024-07-01,29.7,78.9,16.8,10.0,40.7,25.2,7.3,15
2024-07-02,32.7,85.7,18.4,10.0,32.1,12.9,10.7,15
2024-07-03,31.2,77.5,13.8,20.6,22.0,15.2,12.4,40
2024-07-04,33.0,79.5,18.3,17.2,32.9,18.0,8.3,27
2024-07-05,32.5,81.3,16.4,10.0,20.0,26.2,12.6,17
2024-07-06,31.3,79.4,19.9,10.0,24.6,21.9,6.3,20
2024-07-07,29.7,76.3,20.5,10.0,22.8,15.2,14.4,20
2024-07-08,28.3,79.6,24.7,10.0,20.0,18.5,10.0,18
2024-07-09,30.3,84.2,18.7,10.0,20.0,16.9,8.2,15
2024-07-10,32.8,73.8,17.9,10.0,20.0,16.5,9.1,15
2024-07-11,31.4,79.7,17.5,10.0,20.0,24.9,12.4,20
2024-07-12,28.4,75.6,15.8,10.0,20.0,13.2,8.3,19
2024-07-13,31.2,85.2,17.9,10.0,21.8,28.1,7.8,15
2024-07-14,31.5,71.7,16.0,10.0,20.0,24.1,9.3,22
2024-07-15,28.9,76.6,17.3,10.0,20.0,25.5,6.5,16
2024-07-16,30.9,81.4,20.7,10.0,20.0,17.7,15.5,15
2024-07-17,30.6,87.4,13.7,18.3,45.0,19.3,8.3,26
2024-07-18,28.1,79.3,20.2,10.1,41.0,12.8,12.5,15
2024-07-19,31.0,76.9,20.7,10.0,20.0,17.4,10.6,15
2024-07-20,31.3,89.2,16.3,10.0,20.0,22.5,7.0,22
2024-07-21,32.2,72.6,10.3,10.0,23.4,26.5,10.0,15
2024-07-22,32.0,68.9,14.8,10.0,20.0,14.5,12.4,17
2024-07-23,27.1,82.1,20.5,10.0,20.0,18.2,9.4,15
2024-07-24,27.8,77.4,16.5,10.0,27.1,19.2,13.6,15
2024-07-25,30.6,74.8,13.5,10.0,20.0,13.0,13.1,15
2024-07-26,30.5,83.5,15.0,10.0,35.8,23.0,12.8,15
2024-07-27,30.4,81.2,19.0,10.0,20.0,16.4,8.6,15
2024-07-28,37.0,77.2,18.0,10.0,20.0,19.0,6.8,19
2024-07-29,30.3,73.6,15.6,10.0,20.0,17.7,8.2,17
2024-07-30,31.3,84.4,15.2,10.0,20.0,16.1,10.6,15
2024-07-31,30.8,83.2,15.1,10.0,20.0,20.0,11.6,22
2024-08-01,30.1,79.5,13.5,10.0,38.4,18.9,3.5,17
2024-08-02,28.0,89.2,21.0,15.2,24.9,18.1,10.0,26
2024-08-03,30.0,74.6,15.2,20.7,39.7,16.4,10.5,34
2024-08-04,26.9,72.3,19.7,10.0,30.3,21.6,9.2,15
2024-08-05,27.8,76.4,20.6,10.0,20.0,28.3,13.9,17
2024-08-06,27.2,79.6,19.0,10.0,23.1,20.7,11.3,19
2024-08-07,28.2,81.0,14.6,10.0,20.0,25.0,13.9,15
2024-08-08,32.5,78.5,17.1,12.6,32.8,13.0,9.4,18
2024-08-09,24.0,81.4,15.7,21.8,20.0,20.8,12.8,34
2024-08-10,29.0,73.3,13.1,10.0,20.0,14.5,14.9,17
2024-08-11,24.3,86.7,16.7,10.0,20.0,12.6,13.9,22
2024-08-12,26.4,79.0,12.1,22.0,41.7,16.3,6.7,32
2024-08-13,29.4,84.9,19.2,10.0,23.1,26.0,9.2,15
2024-08-14,27.2,81.0,14.1,14.3,20.0,24.8,9.0,21
2024-08-15,24.8,81.5,16.1,10.0,20.0,21.2,11.5,15
2024-08-16,25.4,81.9,16.3,10.0,20.0,12.3,12.1,15
2024-08-17,28.1,81.2,14.6,10.0,20.0,19.0,7.5,20
2024-08-18,25.1,82.1,17.0,14.9,36.5,21.5,10.2,19
2024-08-19,26.9,85.4,13.8,21.0,28.1,20.9,3.9,37
2024-08-20,26.4,79.6,17.8,10.0,20.0,10.8,14.3,15
2024-08-21,24.9,82.0,11.0,13.0,20.0,15.5,8.5,18
2024-08-22,30.3,77.9,15.4,10.0,20.0,19.7,10.2,15
2024-08-23,27.2,85.4,20.8,10.0,20.0,22.7,9.1,25
2024-08-24,21.7,74.7,11.9,17.9,20.0,9.0,13.4,28
2024-08-25,26.0,86.9,12.8,10.2,20.0,19.2,2.0,15
2024-08-26,24.2,77.6,16.3,16.8,46.9,20.7,10.0,18
2024-08-27,27.0,70.4,15.2,10.0,20.7,24.2,9.7,16
2024-08-28,23.6,78.1,15.6,12.2,20.0,23.5,8.6,23
2024-08-29,24.8,73.9,16.0,10.0,22.8,22.9,15.2,18
2024-08-30,25.9,81.3,16.3,10.0,20.0,16.0,7.3,17
2024-08-31,26.5,73.6,17.7,10.0,20.0,10.5,12.3,22
2024-09-01,22.3,74.5,15.5,10.0,20.0,18.0,11.1,15
2024-09-02,23.8,67.1,13.5,10.0,20.0,25.0,13.8,21
2024-09-03,23.4,74.1,16.1,10.0,20.0,27.0,8.0,15
2024-09-04,22.9,64.0,19.7,10.0,20.0,23.6,7.8,15
2024-09-05,27.6,68.0,13.6,10.0,20.0,22.1,13.3,15
2024-09-06,24.8,79.5,11.0,10.0,20.0,21.9,11.3,15
2024-09-07,21.3,79.4,17.1,21.8,20.7,17.2,5.4,36
2024-09-08,25.5,77.4,13.4,23.8,47.1,19.3,8.4,40
2024-09-09,27.8,70.2,7.1,10.0,20.0,28.3,11.2,16
2024-09-10,25.5,74.6,16.1,12.7,32.0,15.3,12.5,16
2024-09-11,20.3,74.6,11.9,10.0,20.0,28.1,8.0,15
2024-09-12,22.2,68.6,13.1,12.9,20.0,18.4,2.0,15
2024-09-13,25.6,81.6,14.3,11.5,20.0,26.6,11.6,25
2024-09-14,21.5,78.3,13.8,10.0,20.0,13.0,6.3,15
2024-09-15,23.6,72.5,15.3,10.0,30.6,22.9,3.9,15
2024-09-16,24.2,73.5,11.8,10.0,23.7,16.3,2.0,24
2024-09-17,20.6,74.1,14.5,10.0,30.7,12.9,12.4,15
2024-09-18,22.2,62.6,12.1,10.0,23.8,21.1,10.4,15
2024-09-19,15.8,71.3,15.0,10.0,20.0,25.0,9.3,15
2024-09-20,20.1,68.9,14.6,10.0,20.0,15.8,14.2,16
2024-09-21,21.5,67.0,9.8,22.1,23.6,12.5,11.9,38
2024-09-22,19.4,70.4,15.8,21.1,53.8,19.5,14.8,38
2024-09-23,25.0,80.5,10.9,10.0,20.0,19.6,5.8,29
2024-09-24,18.7,74.4,14.8,10.2,29.7,22.7,9.9,15
2024-09-25,20.6,68.0,13.4,14.9,37.2,24.7,5.1,27
2024-09-26,21.6,73.5,17.7,10.0,43.4,19.7,9.3,15
2024-09-27,24.1,77.3,11.5,13.6,20.0,29.3,9.3,19
2024-09-28,18.2,74.6,11.0,20.9,44.2,21.1,11.9,31
2024-09-29,23.3,70.0,11.9,17.0,61.4,18.3,10.1,23
2024-09-30,20.9,66.2,11.0,10.0,20.0,11.9,11.9,25
2024-10-01,18.8,72.6,14.2,17.4,20.0,18.7,12.1,33
2024-10-02,21.6,70.8,6.9,28.6,20.0,18.3,16.5,47
2024-10-03,20.9,73.0,8.5,10.0,26.7,24.8,9.1,23
2024-10-04,19.2,71.4,8.3,17.9,20.0,22.3,7.2,22
2024-10-05,20.4,73.1,14.3,15.4,20.0,14.1,10.7,19
2024-10-06,19.4,64.9,16.5,10.0,22.6,20.9,7.6,15
2024-10-07,20.3,73.8,11.0,24.3,41.6,23.4,14.4,36
2024-10-08,21.3,67.9,10.7,37.6,66.6,27.6,9.2,63
2024-10-09,23.0,77.0,11.3,10.0,20.0,24.4,8.3,17
2024-10-10,17.3,62.8,14.5,10.0,35.2,23.8,8.6,17
2024-10-11,23.9,74.6,8.2,20.8,20.0,20.3,12.2,27
2024-10-12,15.6,66.6,11.6,19.9,21.6,21.9,9.5,37
2024-10-13,19.2,62.0,13.7,10.0,20.0,26.2,8.1,17
2024-10-14,20.5,62.5,12.2,26.3,54.5,13.3,15.0,47
2024-10-15,19.8,63.0,11.2,10.0,29.5,18.3,7.4,15
2024-10-16,17.9,66.4,13.5,16.6,33.4,16.1,10.1,29
2024-10-17,18.7,66.5,2.3,20.5,50.5,21.9,12.0,28
2024-10-18,18.0,60.7,12.4,28.6,28.1,26.2,5.1,45
2024-10-19,17.7,63.1,8.3,37.5,84.9,17.0,11.4,65
2024-10-20,20.5,73.6,4.7,15.3,47.3,8.0,6.8,25
2024-10-21,19.4,71.2,11.6,10.0,27.0,17.9,12.5,15
2024-10-22,17.2,64.4,14.2,17.4,54.5,24.6,7.1,28
2024-10-23,20.3,62.1,9.5,11.8,20.0,22.7,12.1,15
2024-10-24,19.1,62.1,12.7,10.4,20.0,22.1,13.3,23
2024-10-25,20.0,64.3,14.6,10.0,20.0,18.6,12.6,15
2024-10-26,19.6,55.7,13.7,10.0,26.8,13.6,10.8,22
2024-10-27,16.6,59.2,14.6,10.0,20.0,22.6,9.3,15
2024-10-28,17.0,51.8,11.8,10.0,27.4,15.8,8.3,15
2024-10-29,19.6,61.8,9.7,10.5,37.3,30.9,14.4,15
2024-10-30,19.2,62.7,4.6,37.5,70.5,22.9,7.9,66
2024-10-31,17.9,56.7,8.6,10.0,20.3,17.1,6.9,15
2024-11-01,18.1,66.7,6.7,28.0,30.0,16.9,12.0,49
2024-11-02,20.4,52.3,15.7,10.0,20.0,19.5,7.6,15
2024-11-03,16.6,50.8,8.6,14.3,41.6,18.8,7.1,15
2024-11-04,18.8,58.9,9.4,23.8,49.7,25.6,5.7,36
2024-11-05,17.3,62.7,10.6,17.4,27.3,20.9,8.6,23
2024-11-06,17.2,65.5,9.1,22.1,29.1,16.3,9.8,37
2024-11-07,19.8,54.4,13.9,18.8,20.0,29.5,10.7,25
2024-11-08,19.2,61.8,6.9,16.3,20.0,20.2,12.9,31
2024-11-09,19.1,55.9,9.3,10.0,44.7,23.8,11.6,16
2024-11-10,20.0,54.9,6.4,10.0,20.0,17.0,9.4,15
2024-11-11,17.4,59.8,4.6,14.8,26.5,21.8,9.4,27
2024-11-12,18.7,58.3,6.7,49.4,94.2,21.6,11.5,87
2024-11-13,16.7,46.8,8.4,29.9,29.0,10.6,13.8,49
2024-11-14,17.9,61.8,7.1,10.0,20.0,30.1,10.4,15
2024-11-15,17.0,61.0,6.3,10.0,30.1,26.5,8.6,15
2024-11-16,17.4,50.6,4.1,28.7,46.1,18.0,7.0,44
2024-11-17,18.4,55.4,8.0,23.5,80.6,14.5,5.7,36
2024-11-18,15.5,55.6,3.7,30.0,23.0,21.7,12.0,50
2024-11-19,21.3,54.1,10.4,11.8,34.8,20.4,11.7,18
2024-11-20,15.1,49.7,8.3,16.3,23.4,21.8,11.7,30
2024-11-21,14.6,48.8,3.6,27.8,56.1,21.0,9.6,43
2024-11-22,19.4,51.7,7.0,20.3,39.1,22.5,14.2,33
2024-11-23,18.6,57.4,5.7,10.0,20.0,27.2,8.5,22
2024-11-24,18.3,53.9,8.8,14.5,26.6,22.8,12.9,25
2024-11-25,18.3,49.0,11.8,10.0,20.0,14.8,9.9,16
2024-11-26,17.0,54.4,2.1,28.5,54.7,26.8,8.2,44
2024-11-27,15.2,36.0,8.1,47.7,80.9,28.2,11.8,76
2024-11-28,17.2,55.7,7.2,22.9,46.2,35.8,11.2,33
2024-11-29,15.6,41.0,9.7,12.4,35.7,14.4,11.1,17
2024-11-30,19.0,47.6,8.2,26.9,48.5,21.2,10.2,48
2024-12-01,16.7,43.5,5.3,26.9,45.2,9.6,9.9,43
2024-12-02,15.4,42.3,6.6,24.4,25.8,22.8,17.2,33
2024-12-03,16.4,54.3,5.1,28.4,34.8,17.3,13.6,56
2024-12-04,17.9,45.9,10.7,34.6,73.1,29.6,12.2,59
2024-12-05,15.9,49.7,7.5,10.0,37.5,16.1,10.3,15
2024-12-06,15.4,47.5,13.1,15.1,20.6,11.6,13.0,22
2024-12-07,17.6,49.8,7.2,10.0,20.0,17.6,11.6,17
2024-12-08,17.6,47.5,5.2,27.8,30.9,10.1,10.1,54
2024-12-09,16.1,40.5,2.7,16.7,44.3,23.8,9.1,22
2024-12-10,16.2,51.6,2.0,22.8,46.5,9.7,9.8,42
2024-12-11,17.6,43.9,2.5,23.3,66.4,20.1,2.0,45
2024-12-12,14.3,38.4,8.0,27.7,31.2,9.6,10.6,43
2024-12-13,14.4,43.7,8.7,26.1,36.1,18.4,8.5,42
2024-12-14,15.8,53.2,2.4,13.9,25.7,28.2,14.8,18
2024-12-15,16.9,49.7,9.8,135.8,227.0,51.8,25.1,311
2024-12-16,18.0,43.4,5.7,134.4,211.8,45.7,21.4,310
2024-12-17,20.3,43.2,7.5,126.0,188.5,49.8,24.8,307
2024-12-18,19.2,43.1,11.9,129.7,220.7,50.0,21.8,312
2024-12-19,17.2,54.9,9.8,131.8,221.7,52.2,26.4,305
2024-12-20,17.5,46.2,6.3,164.1,248.9,43.0,25.8,324
2024-12-21,15.6,46.2,4.4,146.7,255.0,52.7,27.7,320
2024-12-22,17.6,49.0,2.0,131.8,228.4,36.1,22.4,310
2024-12-23,17.1,44.9,4.9,135.1,218.2,46.4,24.9,312
2024-12-24,18.4,42.2,6.4,148.2,238.4,47.0,20.6,320
2024-12-25,16.1,42.3,4.0,161.8,267.3,52.4,26.7,332
2024-12-26,18.9,42.7,6.6,120.6,180.1,49.2,26.1,308
2024-12-27,21.0,42.7,7.2,116.1,186.2,41.9,26.0,288
2024-12-28,17.8,46.4,6.3,154.3,214.5,43.8,24.4,324
2024-12-29,18.9,42.8,5.1,140.6,238.1,49.6,25.5,313
2024-12-30,19.5,46.1,7.5,123.5,174.2,48.0,29.0,301
2024-12-31,17.4,41.8,8.3,135.4,239.2,45.2,23.2,320
2025-01-01,18.6,42.6,3.7,110.6,172.0,45.7,24.5,267
2025-01-02,18.3,32.1,11.2,124.8,196.5,51.4,20.7,303
2025-01-03,18.5,46.5,6.7,133.9,204.8,45.1,21.2,308
2025-01-04,16.9,43.5,7.1,138.3,216.9,47.0,24.0,319
2025-01-05,18.6,46.6,9.2,114.7,204.8,58.0,26.9,292
2025-01-06,19.6,27.0,7.7,126.7,165.4,39.7,22.7,307
2025-01-07,21.6,51.8,9.9,112.2,198.7,37.3,22.6,274
2025-01-08,20.7,40.6,7.9,125.8,206.4,50.2,21.9,304
2025-01-09,23.2,46.7,5.2,117.1,169.2,42.6,21.4,278
2025-01-10,17.4,35.8,8.2,116.3,169.9,44.1,23.7,291
